,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,Publisher,IS,n_articles
0,Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES - SCIE,"107,998",32.5,ROYAL SOC CHEMISTRY,1754-5692,27
1,Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES - SCIE,"45,022",30.7,NATURE PORTFOLIO,1758-678X,244
2,Lancet Planetary Health,LANCET PLANET HEALTH,,2542-5196,ENVIRONMENTAL SCIENCES - SCIE,"6,220",25.7,ELSEVIER SCI LTD,2542-5196,64
3,One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE,"3,916",16.2,ELSEVIER,2590-3330,71
4,Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES - SCIE,"14,047",15.7,SPRINGER HEIDELBERG,1610-3653,10
5,REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES - SCIE,"89,316",13.5,ELSEVIER SCIENCE INC,0034-4257,321
6,WATER RESEARCH,WATER RES,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES - SCIE,"144,183",12.8,PERGAMON-ELSEVIER SCIENCE LTD,0043-1354,125
7,Biochar,BIOCHAR,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES - SCIE,"1,899",12.7,SPRINGER SINGAPORE PTE LTD,2524-7972,5
8,GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,ENVIRONMENTAL SCIENCES - SCIE,"67,135",11.6,WILEY,1354-1013,770
9,ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,0013-936X,1520-5851,ENVIRONMENTAL SCIENCES - SCIE,"249,801",11.4,AMER CHEMICAL SOC,0013-936X,298
10,ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,0091-6765,1552-9924,ENVIRONMENTAL SCIENCES - SCIE,"44,887",10.4,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,15
11,Journal of Environmental Management,J ENVIRON MANAGE,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES - SCIE,"99,689",8.7,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0301-4797,808
12,ENVIRONMENTAL RESEARCH,ENVIRON RES,0013-9351,1096-0953,ENVIRONMENTAL SCIENCES - SCIE,"58,236",8.3,ACADEMIC PRESS INC ELSEVIER SCIENCE,0013-9351,310
13,Earths Future,EARTHS FUTURE,,2328-4277,ENVIRONMENTAL SCIENCES - SCIE,"6,849",8.2,AMER GEOPHYSICAL UNION,2328-4277,332
14,Communications Earth & Environment,COMMUN EARTH ENVIRON,,2662-4435,ENVIRONMENTAL SCIENCES - SCIE,"2,737",7.9,SPRINGERNATURE,2662-4435,270
15,Advances in Climate Change Research,ADV CLIM CHANG RES,1674-9278,1674-9278,ENVIRONMENTAL SCIENCES - SCIE,"2,302",7.4,KEAI PUBLISHING LTD,1674-9278,119
16,Journal of Environmental Informatics,J ENVIRON INFORM,1726-2135,1684-8799,ENVIRONMENTAL SCIENCES - SCIE,868,7.0,INT SOC ENVIRON INFORM SCI,1726-2135,14
17,Journal of Environmental Sciences,J ENVIRON SCI,1001-0742,1878-7320,ENVIRONMENTAL SCIENCES - SCIE,"21,628",6.9,SCIENCE PRESS,1001-0742,34
